RecordKey   Fecha   ErrNum  ErrMsj  TipoDocumento
1428  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1017/11
1430  28052012  -2028   No existen registros coincidentes ODBC -2028   OP001/12
1480  28052012  -2028   No existen registros coincidentes ODBC -2028   OP050/12
1497  28052012  -2028   No existen registros coincidentes ODBC -2028   OP067/12
1499  28052012  -2028   No existen registros coincidentes ODBC -2028   OP069/12
1500  28052012  -2028   No existen registros coincidentes ODBC -2028   OP070/12
1501  28052012  -2028   No existen registros coincidentes ODBC -2028   OP071/12
1504  28052012  -2028   No existen registros coincidentes ODBC -2028   OP074/12
1505  28052012  -2028   No existen registros coincidentes ODBC -2028   OP075/12
1508  28052012  -2028   No existen registros coincidentes ODBC -2028   OP078/12
1509  28052012  -2028   No existen registros coincidentes ODBC -2028   OP079/12
1519  28052012  -2028   No existen registros coincidentes ODBC -2028   OP089/12
1527  28052012  -2028   No existen registros coincidentes ODBC -2028   OP097/12
1532  28052012  -2028   No existen registros coincidentes ODBC -2028   OP102/12
1533  28052012  -2028   No existen registros coincidentes ODBC -2028   OP103/12
1534  28052012  -2028   No existen registros coincidentes ODBC -2028   OP104/12
1535  28052012  -2028   No existen registros coincidentes ODBC -2028   OP105/12
1540  28052012  -2028   No existen registros coincidentes ODBC -2028   OP110/12
1552  28052012  -2028   No existen registros coincidentes ODBC -2028   OP122/12
1558  28052012  -2028   No existen registros coincidentes ODBC -2028   OP1019/11
1562  28052012  -2028   No existen registros coincidentes ODBC -2028   OP130/12
1567  28052012  -2028   No existen registros coincidentes ODBC -2028   OP135/12
1571  28052012  -2028   No existen registros coincidentes ODBC -2028   OP139/12
1572  28052012  -2028   No existen registros coincidentes ODBC -2028   OP140/12
1573  28052012  -2028   No existen registros coincidentes ODBC -2028   OP141/12
1576  28052012  -2028   No existen registros coincidentes ODBC -2028   OP144/12
1577  28052012  -2028   No existen registros coincidentes ODBC -2028   OP145/12
1578  28052012  -2028   No existen registros coincidentes ODBC -2028   OP146/12
1609  28052012  -2028   No existen registros coincidentes ODBC -2028   OP177/12
1631  28052012  -2028   No existen registros coincidentes ODBC -2028   OP199/12
1650  28052012  -2028   No existen registros coincidentes ODBC -2028   OP217/12
1651  28052012  -2028   No existen registros coincidentes ODBC -2028   OP218/12
1655  28052012  -2028   No existen registros coincidentes ODBC -2028   OP222/12
1660  28052012  -2028   No existen registros coincidentes ODBC -2028   OP227/12
1673  28052012  -2028   No existen registros coincidentes ODBC -2028   OP240/12
1683  28052012  -2028   No existen registros coincidentes ODBC -2028   OP250/12
1712  28052012  -2028   No existen registros coincidentes ODBC -2028   OP278/12
1715  28052012  -2028   No existen registros coincidentes ODBC -2028   OP281/12
1731  28052012  -2028   No existen registros coincidentes ODBC -2028   OP297/12
1733  28052012  -2028   No existen registros coincidentes ODBC -2028   OP299/12
1741  28052012  -2028   No existen registros coincidentes ODBC -2028   OP307/12
1758  28052012  -2028   No existen registros coincidentes ODBC -2028   OP322/12
1760  28052012  -2028   No existen registros coincidentes ODBC -2028   OP323/12
1764  28052012  -2028   No existen registros coincidentes ODBC -2028   OP327/12
1783  28052012  -2028   No existen registros coincidentes ODBC -2028   OP346/12
1784  28052012  -2028   No existen registros coincidentes ODBC -2028   OP347/12
1845  28052012  -2028   No existen registros coincidentes ODBC -2028   OP403/12
1916  28052012  -2028   No existen registros coincidentes ODBC -2028   OP472/12
1939  28052012  -2028   No existen registros coincidentes ODBC -2028   OP495/12
1940  28052012  -2028   No existen registros coincidentes ODBC -2028   OP496/12
1972  28052012  -2028   No existen registros coincidentes ODBC -2028   OP527/12
1973  28052012  -2028   No existen registros coincidentes ODBC -2028   OP528/12
1975  28052012  -2028   No existen registros coincidentes ODBC -2028   OP530/12
1976  28052012  -2028   No existen registros coincidentes ODBC -2028   OP531/12
2008  28052012  -2028   No existen registros coincidentes ODBC -2028   OP562/12
2024  28052012  -2028   No existen registros coincidentes ODBC -2028   OP578/12
2045  28052012  -2028   No existen registros coincidentes ODBC -2028   OP599/12
2094  28052012  -2028   No existen registros coincidentes ODBC -2028   OP647/12
2117  28052012  -2028   No existen registros coincidentes ODBC -2028   OP670/12
2126  28052012  -2028   No existen registros coincidentes ODBC -2028   OP679/12
2127  28052012  -2028   No existen registros coincidentes ODBC -2028   OP680/12
2174  28052012  -2028   No existen registros coincidentes ODBC -2028   OP726/12
2177  28052012  -2028   No existen registros coincidentes ODBC -2028   OP729/12
2251  28052012  -2028   No existen registros coincidentes ODBC -2028   OP802/12
