RecordKey   Fecha   ErrNum  ErrMsj  TipoDocumento
158  28052012  0   Sin Error   OP378/10
161  28052012  -2028   No existen registros coincidentes ODBC -2028   OP379/10
162  28052012  0   Sin Error   OP380/10
170  28052012  0   Sin Error   OP388/10
171  28052012  0   Sin Error   OP389/10
172  28052012  0   Sin Error   OP390/10
173  28052012  0   Sin Error   OP391/10
174  28052012  0   Sin Error   OP392/10
175  28052012  0   Sin Error   OP393/10
177  28052012  0   Sin Error   OP395/10
178  28052012  0   Sin Error   OP396/10
179  28052012  0   Sin Error   OP397/10
181  28052012  0   Sin Error   OP369/10
182  28052012  0   Sin Error   OP399/10
183  28052012  0   Sin Error   OP400/10
186  28052012  0   Sin Error   OP402/10
187  28052012  0   Sin Error   OP403/10
190  28052012  0   Sin Error   OP406/10
191  28052012  0   Sin Error   OP407/10
194  28052012  0   Sin Error   OP410/10
196  28052012  0   Sin Error   OP412/10
197  28052012  0   Sin Error   OP413/10
198  28052012  0   Sin Error   OP414/10
199  28052012  -2028   No existen registros coincidentes ODBC -2028   OP415/10
203  28052012  0   Sin Error   OP419/10
204  28052012  0   Sin Error   OP420/10
205  28052012  -2028   No existen registros coincidentes ODBC -2028   OP421/10
207  28052012  -2028   No existen registros coincidentes ODBC -2028   OP423/10
210  28052012  0   Sin Error   OP426/10
213  28052012  0   Sin Error   OP428/10
214  28052012  0   Sin Error   OP429/10
215  28052012  0   Sin Error   OP430/10
217  28052012  0   Sin Error   OP432/10
222  28052012  0   Sin Error   OP437/10
223  28052012  0   Sin Error   OP438/10
224  28052012  0   Sin Error   OP439/10
225  28052012  0   Sin Error   OP440/10
228  28052012  0   Sin Error   OP443/10
235  28052012  0   Sin Error   OP447/10
236  28052012  -2028   No existen registros coincidentes ODBC -2028   OP448/10
237  28052012  0   Sin Error   OP449/10
238  28052012  0   Sin Error   OP450/10
241  28052012  0   Sin Error   OP453/10
243  28052012  0   Sin Error   OP455/10
244  28052012  0   Sin Error   OP456/10
245  28052012  0   Sin Error   OP457/10
247  28052012  0   Sin Error   OP459/10
248  28052012  0   Sin Error   OP460/10
249  28052012  -2028   No existen registros coincidentes ODBC -2028   OP461/10
250  28052012  0   Sin Error   OP462/10
251  28052012  0   Sin Error   OP463/10
252  28052012  0   Sin Error   OP464/10
253  28052012  0   Sin Error   OP465/10
254  28052012  0   Sin Error   OP466/10
255  28052012  -2028   No existen registros coincidentes ODBC -2028   OP467/10
256  28052012  0   Sin Error   OP468/10
257  28052012  0   Sin Error   OP469/10
258  28052012  0   Sin Error   OP470/10
259  28052012  0   Sin Error   OP471/10
261  28052012  0   Sin Error   OP473/10
262  28052012  0   Sin Error   OP474/10
263  28052012  0   Sin Error   OP475/10
264  28052012  0   Sin Error   OP476/10
267  28052012  -2028   No existen registros coincidentes ODBC -2028   OP479/10
269  28052012  0   Sin Error   OP481/10
270  28052012  0   Sin Error   OP482/10
271  28052012  0   Sin Error   OP483/10
272  28052012  0   Sin Error   OP484/10
273  28052012  0   Sin Error   OP485/10
274  28052012  0   Sin Error   OP486/10
275  28052012  0   Sin Error   OP487/10
277  28052012  0   Sin Error   OP489/10
278  28052012  0   Sin Error   OP490/10
280  28052012  0   Sin Error   OP492/10
282  28052012  0   Sin Error   OP494/10
283  28052012  0   Sin Error   OP495/10
284  28052012  0   Sin Error   OP496/10
286  28052012  0   Sin Error   OP498/10
289  28052012  -2028   No existen registros coincidentes ODBC -2028   OP501/10
290  28052012  0   Sin Error   OP502/10
291  28052012  -2028   No existen registros coincidentes ODBC -2028   OP503/10
293  28052012  0   Sin Error   OP505/10
295  28052012  -2028   No existen registros coincidentes ODBC -2028   OP507/10
296  28052012  0   Sin Error   OP508/10
299  28052012  -2028   No existen registros coincidentes ODBC -2028   OP510/10
300  28052012  0   Sin Error   OP511/10
301  28052012  -2028   No existen registros coincidentes ODBC -2028   OP512/10
302  28052012  0   Sin Error   OP513/10
304  28052012  -2028   No existen registros coincidentes ODBC -2028   OP515/10
307  28052012  0   Sin Error   OP518/10
308  28052012  0   Sin Error   OP519/10
311  28052012  0   Sin Error   OP522/10
314  28052012  0   Sin Error   OP525/10
315  28052012  0   Sin Error   OP526/10
316  28052012  0   Sin Error   OP527/10
318  28052012  0   Sin Error   OP529/10
319  28052012  -2028   No existen registros coincidentes ODBC -2028   OP530/10
320  28052012  -2028   No existen registros coincidentes ODBC -2028   OP531/10
321  28052012  -2028   No existen registros coincidentes ODBC -2028   OP532/10
322  28052012  0   Sin Error   OP533/10
323  28052012  0   Sin Error   OP534/10
324  28052012  -2028   No existen registros coincidentes ODBC -2028   OP535/10
327  28052012  0   Sin Error   OP537/10
328  28052012  0   Sin Error   OP538/10
331  28052012  0   Sin Error   OP541/10
332  28052012  0   Sin Error   OP542/10
335  28052012  0   Sin Error   OP545/10
337  28052012  0   Sin Error   OP547/10
339  28052012  0   Sin Error   OP549/10
340  28052012  0   Sin Error   OP550/10
341  28052012  0   Sin Error   OP551/10
342  28052012  0   Sin Error   OP552/10
345  28052012  -2028   No existen registros coincidentes ODBC -2028   OP555/10
347  28052012  0   Sin Error   OP557/10
357  28052012  0   Sin Error   OP559/10
358  28052012  0   Sin Error   OP560/10
361  28052012  0   Sin Error   OP563/10
362  28052012  0   Sin Error   OP564/10
363  28052012  0   Sin Error   OP565/10
364  28052012  -2028   No existen registros coincidentes ODBC -2028   OP566/10
365  28052012  -2028   No existen registros coincidentes ODBC -2028   OP567/10
368  28052012  0   Sin Error   OP570/10
369  28052012  0   Sin Error   OP571/10
372  28052012  0   Sin Error   OP574/10
373  28052012  0   Sin Error   OP575/10
376  28052012  0   Sin Error   OP578/10
381  28052012  -2028   No existen registros coincidentes ODBC -2028   OP583/10
383  28052012  0   Sin Error   OP585/10
385  28052012  0   Sin Error   OP587/10
387  28052012  -2028   No existen registros coincidentes ODBC -2028   OP589/10
391  28052012  0   Sin Error   OP002/11
399  28052012  0   Sin Error   OP010/11
400  28052012  0   Sin Error   OP011/11
401  28052012  0   Sin Error   OP012/11
404  28052012  0   Sin Error   OP015/11
408  28052012  0   Sin Error   OP018/11
409  28052012  0   Sin Error   OP019/11
410  28052012  0   Sin Error   OP020/11
415  28052012  -2028   No existen registros coincidentes ODBC -2028   OP025/11
419  28052012  0   Sin Error   OP029/11
420  28052012  0   Sin Error   OP030/11
422  28052012  -2028   No existen registros coincidentes ODBC -2028   OP032/11
425  28052012  0   Sin Error   OP035/11
426  28052012  0   Sin Error   OP036/11
427  28052012  0   Sin Error   OP037/11
428  28052012  0   Sin Error   OP038/11
431  28052012  0   Sin Error   OP041/11
432  28052012  0   Sin Error   OP042/11
433  28052012  0   Sin Error   OP043/11
434  28052012  0   Sin Error   OP044/11
435  28052012  0   Sin Error   OP045/11
440  28052012  0   Sin Error   OP050/11
442  28052012  0   Sin Error   OP052/11
443  28052012  0   Sin Error   OP053/11
444  28052012  0   Sin Error   OP054/11
446  28052012  0   Sin Error   OP056/11
447  28052012  0   Sin Error   OP057/11
452  28052012  0   Sin Error   OP061/11
456  28052012  0   Sin Error   OP065/11
457  28052012  0   Sin Error   OP066/11
461  28052012  0   Sin Error   OP069/11
462  28052012  0   Sin Error   OP070/11
463  28052012  0   Sin Error   OP071/11
464  28052012  0   Sin Error   OP072/11
465  28052012  0   Sin Error   OP073/11
468  28052012  0   Sin Error   OP076/11
469  28052012  0   Sin Error   OP077/11
470  28052012  0   Sin Error   OP078/11
471  28052012  0   Sin Error   OP079/11
473  28052012  -2028   No existen registros coincidentes ODBC -2028   OP081/11
474  28052012  0   Sin Error   OP082/11
475  28052012  0   Sin Error   OP083/11
476  28052012  0   Sin Error   OP084/11
477  28052012  0   Sin Error   OP085/11
478  28052012  -2028   No existen registros coincidentes ODBC -2028   OP086/11
479  28052012  0   Sin Error   OP087/11
482  28052012  0   Sin Error   OP090/11
483  28052012  0   Sin Error   OP091/11
484  28052012  -2028   No existen registros coincidentes ODBC -2028   OP092/11
486  28052012  0   Sin Error   OP094/11
488  28052012  0   Sin Error   OP096/11
490  28052012  0   Sin Error   OP098/11
491  28052012  0   Sin Error   OP099/11
493  28052012  0   Sin Error   OP101/11
497  28052012  0   Sin Error   OP105/11
500  28052012  0   Sin Error   OP108/11
502  28052012  0   Sin Error   OP110/11
503  28052012  0   Sin Error   OP111/11
509  28052012  0   Sin Error   OP117/11
510  28052012  0   Sin Error   OP118/11
516  28052012  0   Sin Error   OP124/11
518  28052012  -2028   No existen registros coincidentes ODBC -2028   OP126/11
521  28052012  0   Sin Error   OP129/11
522  28052012  0   Sin Error   OP130/11
523  28052012  0   Sin Error   OP131/11
